CPUs,Ambiente,Tempo_Nativo,Tempo_Nativo5,Tempo_Nativo10
1,Nativo,105.14423333333333,110.40144500000001,115.65865666666667
2,Nativo,52.62153333333333,55.252610000000004,57.88368666666667
4,Nativo,26.306216666666668,27.621527500000003,28.936838333333338
8,Nativo,13.149976666666667,13.8074755,14.464974333333336
10,Nativo,10.540943333333333,11.0679905,11.595037666666666
16,Nativo,6.6053,6.935565,7.26583
20,Nativo,5.354003333333333,5.6217035,5.8894036666666665
32,Nativo,4.130503333333333,4.337028500000001,4.543553666666667
40,Nativo,3.6294766666666667,3.8109505,3.9924243333333336
